Loan_ID,Loan_Status,Male_IO,Married_IO,Dependents,FamilySize,Education_IO,FamilyIncome,DualIncome_IO,PA_Urban,PA_Rural,PA_Semiurban,IncomePerMember,LoanTermGroups,Loan_Amount_Term,LoanAmountLog,LTG_<15,LTG_15,LTG_1530,LTG_30,LTG_>30,LoanAmount,Debt_Equity,Debt_Equity_Annual,Self_Employed_IO,Credit_History
LP001002,1,1,0,0,1,1,5849.0,0,1,0,0,5849.0,30,360.0,4.934725507644021,0,0,0,1,0,139.0349732563583,23.770725466978686,0.7923575155659561,0,1.0
LP001003,0,1,1,1,3,1,6091.0,1,0,1,0,2030.3333333333333,30,360.0,4.852030263919617,0,0,0,1,0,127.99999999999997,21.014611722213097,0.7004870574071033,0,1.0
LP001005,1,1,1,0,2,1,3000.0,0,1,0,0,1500.0,30,360.0,4.189654742026425,0,0,0,1,0,65.99999999999997,21.99999999999999,0.7333333333333331,1,1.0
LP001006,1,1,1,0,2,0,4941.0,1,1,0,0,2470.5,30,360.0,4.787491742782046,0,0,0,1,0,119.99999999999997,24.286581663630837,0.8095527221210279,0,1.0
LP001008,1,1,0,0,1,1,6000.0,0,1,0,0,6000.0,30,360.0,4.948759890378168,0,0,0,1,0,141.00000000000003,23.500000000000004,0.7833333333333334,0,1.0
LP001011,1,1,1,2,4,1,9613.0,1,1,0,0,2403.25,30,360.0,5.58724865840025,0,0,0,1,0,267.00000000000006,27.774888172266728,0.9258296057422243,1,1.0
LP001013,1,1,1,0,2,0,3849.0,1,1,0,0,1924.5,30,360.0,4.553876891600541,0,0,0,1,0,95.0,24.68173551571837,0.8227245171906123,0,1.0
LP001014,0,1,1,3,5,1,5540.0,1,0,0,1,1108.0,30,360.0,5.062595033026967,0,0,0,1,0,158.00000000000003,28.519855595667874,0.9506618531889293,0,0.0
LP001018,1,1,1,2,4,1,5532.0,1,1,0,0,1383.0,30,360.0,5.123963979403259,0,0,0,1,0,167.99999999999997,30.368763557483724,1.012292118582791,0,1.0
LP001020,0,1,1,1,3,1,23809.0,1,0,0,1,7936.333333333333,30,360.0,5.855071922202427,0,0,0,1,0,348.99999999999994,14.658322483094626,0.48861074943648747,0,1.0
LP001024,1,1,1,2,4,1,3900.0,1,1,0,0,975.0,30,360.0,4.248495242049359,0,0,0,1,0,70.00000000000003,17.948717948717956,0.5982905982905985,0,1.0
LP001027,1,1,1,2,4,1,4340.0,1,1,0,0,1085.0,30,360.0,4.6913478822291435,0,0,0,1,0,108.99999999999997,25.115207373271883,0.8371735791090628,0,1.0
LP001028,1,1,1,2,4,1,11179.0,1,1,0,0,2794.75,30,360.0,5.298317366548036,0,0,0,1,0,199.99999999999991,17.89068789694963,0.5963562632316544,0,1.0
LP001029,0,1,0,0,1,1,4693.0,0,0,1,0,4693.0,30,360.0,4.736198448394496,0,0,0,1,0,114.00000000000003,24.29149797570851,0.8097165991902836,0,1.0
LP001030,1,1,1,2,4,1,2385.0,1,1,0,0,596.25,<15,90.0,2.833213344056216,1,0,0,0,0,17.0,7.127882599580713,0.9503843466107617,0,1.0
LP001032,1,1,0,0,1,1,4950.0,0,1,0,0,4950.0,30,360.0,4.8283137373023015,0,0,0,1,0,125.00000000000004,25.25252525252526,0.841750841750842,0,1.0
LP001034,1,1,0,1,2,0,3596.0,0,1,0,0,1798.0,"(15, 30)",270.0,4.605170185988092,0,0,1,0,0,100.00000000000004,27.808676307007797,1.2359411692003468,0,1.0
LP001036,0,0,0,0,1,1,3510.0,0,1,0,0,3510.0,30,360.0,4.330733340286331,0,0,0,1,0,76.0,21.65242165242165,0.7217473884140552,0,0.0
LP001038,0,1,1,0,2,0,4887.0,0,0,1,0,2443.5,30,360.0,4.890349128221754,0,0,0,1,0,133.0,27.215060364231636,0.9071686788077213,0,1.0
LP001041,1,1,1,0,2,1,6100.0,1,1,0,0,3050.0,30,360.0,4.74493212836325,0,0,0,1,0,115.00000000000001,18.852459016393446,0.6284153005464481,0,1.0
